timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-27 05:51:50,"$115,280.77",$2.29T,$59.43B,19.94M BTC,2.55% (24h),82%,18%
2025-10-27 05:54:17,"$115,260.43",$2.29T,$59.37B,19.94M BTC,2.5% (24h),82%,18%
2025-10-27 06:15:09,"$115,324.69",$2.29T,$59.28B,19.94M BTC,2.58% (24h),82%,18%
2025-10-27 06:17:30,"$115,378.07",$2.3T,$59.24B,19.94M BTC,2.67% (24h),82%,18%
2025-10-27 06:42:55,"$115,481.21",$2.3T,$59.53B,19.94M BTC,2.7% (24h),82%,18%
2025-10-27 06:55:42,"$115,440.77",$2.3T,$59.45B,19.94M BTC,2.63% (24h),82%,18%
2025-10-27 07:13:52,"$115,433.10",$2.3T,$59.54B,19.94M BTC,2.6% (24h),82%,18%
2025-10-27 07:31:21,"$115,297.89",$2.29T,$59.61B,19.94M BTC,2.3% (24h),82%,18%
2025-10-27 07:41:49,"$115,479.81",$2.3T,$59.53B,19.94M BTC,2.22% (24h),82%,18%
2025-10-27 07:49:56,"$115,398.82",$2.3T,$57.91B,19.94M BTC,1.92% (24h),82%,18%
2025-10-27 07:57:14,"$115,404.58",$2.3T,$57.92B,19.94M BTC,1.87% (24h),82%,18%
